zip,dir,date,diff
V:/SPOT2/SV04_VG1_S10___RM__19990731220921_19990810234943_CVB_000000_V003.ZIP,1.19990801S10/,1999-08-01,11
V:/SPOT2/SV04_VG1_S10___RM__19990810220446_19990820235413_CVB_000000_V003.ZIP,1.19990811S10/,1999-08-11,10
V:/SPOT2/SV04_VG1_S10___RM__19990820221225_19990831234531_CVB_000000_V003.ZIP,1.19990821S10/,1999-08-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19990831221403_19990910235315_CVB_000000_V003.ZIP,1.19990901S10/,1999-09-01,11
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19990910220817_19990920235751_CVB_000000_V003.ZIP,1.19990911S10/,1999-09-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19990920221614_19990930225400_CVB_000000_V003.ZIP,1.19990921S10/,1999-09-21,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19990930222410_19991010225632_CVB_000000_V003.ZIP,1.19991001S10/,1999-10-01,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19991010212204_19991020224003_CVB_000000_V003.ZIP,1.19991011S10/,1999-10-11,10
Z:/SPOT_NDVI/SV04_VG1_S10___RM__19991020212945_19991031225432_CVB_000000_V003.ZIP,1.19991021S10/,1999-10-21,10
V:/SPOT2/SV04_VG1_S10___RM__19991031222942_19991110230048_CVB_000000_V003.ZIP,1.19991101S10/,1999-11-01,11
V:/SPOT2/SV04_VG1_S10___RM__19991110212621_19991120224708_CVB_000000_V003.ZIP,1.19991111S10/,1999-11-11,10
V:/SPOT2/SV04_VG1_S10___RM__19991120213350_19991130214130_CVB_000000_V003.ZIP,1.19991121S10/,1999-11-21,10
V:/SPOT2/SV04_VG1_S10___RM__19991130214130_19991210214914_CVB_000000_V003.ZIP,1.19991201S10/,1999-12-01,10
V:/SPOT2/SV04_VG1_S10___RM__19991210214914_19991220215655_CVB_000000_V003.ZIP,1.19991211S10/,1999-12-11,10
V:/SPOT2/SV04_VG1_S10___RM__19991220215655_19991231214538_CVB_000000_V003.ZIP,1.19991221S10/,1999-12-21,10
V:/SPOT2/SV04_VG1_S10___RM__19991231214538_20000110215329_CVB_000000_V003.ZIP,1.20000101S10/,2000-01-01,11
V:/SPOT2/SV04_VG1_S10___RM__20000110215329_20000120220122_CVB_000000_V003.ZIP,1.20000111S10/,2000-01-11,10
V:/SPOT2/SV04_VG1_S10___RM__20000120220122_20000131230258_CVB_000000_V003.ZIP,1.20000121S10/,2000-01-21,10
