zip,dir,date,diff
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20031110221627_20031120225149_CVB_000000_V003.ZIP,2.20031111S10/,2003-11-11,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20031120222449_20031130212013_CVB_000000_V003.ZIP,2.20031121S10/,2003-11-21,10
E:/output/SV05_VG2_S10___RM__20031130212013_20031210212740_CVB_000000_V003.ZIP,2.20031201S10/,2003-12-01,10
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20031210212740_20031220213515_CVB_000000_V003.ZIP,2.20031211S10/,2003-12-11,10
E:/output/SV05_VG2_S10___RM__20031220213515_20031231225943_CVB_000000_V003.ZIP,2.20031221S10/,2003-12-21,10
E:/output/SV05_VG2_S10___RM__20031231212346_20040110213115_CVB_000000_V003.ZIP,2.20040101S10/,2004-01-01,11
Z:/SPOT_NDVI/SV05_VG2_S10___RM__20040110213115_20040120213823_CVB_000000_V003.ZIP,2.20040111S10/,2004-01-11,10
E:/output/SV05_VG2_S10___RM__20040120213823_20040131223911_CVB_000000_V003.ZIP,2.20040121S10/,2004-01-21,10
E:/output/SV05_VG2_S10___RM__20040131212703_20040210224609_CVB_000000_V003.ZIP,2.20040201S10/,2004-02-01,11
E:/output/SV05_VG2_S10___RM__20040210213451_20040220225255_CVB_000000_V003.ZIP,2.20040211S10/,2004-02-11,10
V:/SPOT2/SV05_VG2_S10___RM__20040220214228_20040229232051_CVB_000000_V003.ZIP,2.20040221S10/,2004-02-21,10
E:/output/SV05_VG2_S10___RM__20040229220923_20040310232843_CVB_000000_V003.ZIP,2.20040301S10/,2004-03-01,9
E:/output/SV05_VG2_S10___RM__20040310221155_20040320233623_CVB_000000_V003.ZIP,2.20040311S10/,2004-03-11,10
V:/SPOT2/SV05_VG2_S10___RM__20040320222435_20040331232450_CVB_000000_V003.ZIP,2.20040321S10/,2004-03-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040331221313_20040410233229_CVB_000000_V003.ZIP,2.20040401S10/,2004-04-01,11
E:/output/SV05_VG2_S10___RM__20040410222051_20040420234031_CVB_000000_V003.ZIP,2.20040411S10/,2004-04-11,10
V:/SPOT2/SV05_VG2_S10___RM__20040420234031_20040430234816_CVB_000000_V003.ZIP,2.20040421S10/,2004-04-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040430220619_20040510235601_CVB_000000_V003.ZIP,2.20040501S10/,2004-05-01,10
V:/SPOT2/SV05_VG2_S10___RM__20040510221413_20040520225155_CVB_000000_V003.ZIP,2.20040511S10/,2004-05-11,10
E:/output/SV05_VG2_S10___RM__20040520222204_20040531235212_CVB_000000_V003.ZIP,2.20040521S10/,2004-05-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040531221024_20040610224802_CVB_000000_V003.ZIP,2.20040601S10/,2004-06-01,11
E:/output/SV05_VG2_S10___RM__20040610221812_20040620225550_CVB_000000_V003.ZIP,2.20040611S10/,2004-06-11,10
E:/output/SV05_VG2_S10___RM__20040620222600_20040630230006_CVB_000000_V003.ZIP,2.20040621S10/,2004-06-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040630212408_20040710224135_CVB_000000_V003.ZIP,2.20040701S10/,2004-07-01,10
E:/output/SV05_VG2_S10___RM__20040710213148_20040720224926_CVB_000000_V003.ZIP,2.20040711S10/,2004-07-11,10
E:/output/SV05_VG2_S10___RM__20040720213909_20040731223748_CVB_000000_V003.ZIP,2.20040721S10/,2004-07-21,10
E:/output/SV05_VG2_S10___RM__20040731212800_20040810224537_CVB_000000_V003.ZIP,2.20040801S10/,2004-08-01,11
E:/output/SV05_VG2_S10___RM__20040810213540_20040820225327_CVB_000000_V003.ZIP,2.20040811S10/,2004-08-11,10
V:/SPOT2/SV05_VG2_S10___RM__20040820214309_20040831224143_CVB_000000_V003.ZIP,2.20040821S10/,2004-08-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040831213155_20040910224932_CVB_000000_V003.ZIP,2.20040901S10/,2004-09-01,11
E:/output/SV05_VG2_S10___RM__20040910213914_20040920225721_CVB_000000_V003.ZIP,2.20040911S10/,2004-09-11,10
E:/output/SV05_VG2_S10___RM__20040920214654_20040930230742_CVB_000000_V003.ZIP,2.20040921S10/,2004-09-21,10
V:/SPOT2/SV05_VG2_S10___RM__20040930215434_20041010231342_CVB_000000_V003.ZIP,2.20041001S10/,2004-10-01,10
V:/SPOT2/SV05_VG2_S10___RM__20041010220214_20041020232141_CVB_000000_V003.ZIP,2.20041011S10/,2004-10-11,10
V:/SPOT2/SV05_VG2_S10___RM__20041020215443_20041031231027_CVB_000000_V003.ZIP,2.20041021S10/,2004-10-21,10
E:/output/SV05_VG2_S10___RM__20041031215829_20041110231904_CVB_000000_V003.ZIP,2.20041101S10/,2004-11-01,11
E:/output/SV05_VG2_S10___RM__20041110220606_20041120232738_CVB_000000_V003.ZIP,2.20041111S10/,2004-11-11,10
V:/SPOT2/SV05_VG2_S10___RM__20041120221341_20041130233551_CVB_000000_V003.ZIP,2.20041121S10/,2004-11-21,10
E:/output/SV05_VG2_S10___RM__20041130222114_20041210234355_CVB_000000_V003.ZIP,2.20041201S10/,2004-12-01,10
E:/output/SV05_VG2_S10___RM__20041210222317_20041220235155_CVB_000000_V003.ZIP,2.20041211S10/,2004-12-11,10
E:/output/SV05_VG2_S10___RM__20041220223107_20041231234012_CVB_000000_V003.ZIP,2.20041221S10/,2004-12-21,10
E:/output/SV05_VG2_S10___RM__20041231222455_20050110234740_CVB_000000_V003.ZIP,2.20050101S10/,2005-01-01,11
E:/output/SV05_VG2_S10___RM__20050110222712_20050120235446_CVB_000000_V003.ZIP,2.20050111S10/,2005-01-11,10
E:/output/SV05_VG2_S10___RM__20050120221318_20050131234339_CVB_000000_V003.ZIP,2.20050121S10/,2005-01-21,10
E:/output/SV05_VG2_S10___RM__20050131222311_20050210234852_CVB_000000_V003.ZIP,2.20050201S10/,2005-02-01,11
E:/output/SV05_VG2_S10___RM__20050210220724_20050220235544_CVB_000000_V003.ZIP,2.20050211S10/,2005-02-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050220221406_20050228230040_CVB_000000_V003.ZIP,2.20050221S10/,2005-02-21,10
V:/SPOT2/SV05_VG2_S10___RM__20050228215013_20050310230821_CVB_000000_V003.ZIP,2.20050301S10/,2005-03-01,8
V:/SPOT2/SV05_VG2_S10___RM__20050310215743_20050320231641_CVB_000000_V003.ZIP,2.20050311S10/,2005-03-11,10
E:/output/SV05_VG2_S10___RM__20050320220513_20050331230408_CVB_000000_V003.ZIP,2.20050321S10/,2005-03-21,10
E:/output/SV05_VG2_S10___RM__20050331215331_20050410231151_CVB_000000_V003.ZIP,2.20050401S10/,2005-04-01,11
V:/SPOT2/SV05_VG2_S10___RM__20050410220114_20050420232016_CVB_000000_V003.ZIP,2.20050411S10/,2005-04-11,10
E:/output/SV05_VG2_S10___RM__20050420220848_20050430232800_CVB_000000_V003.ZIP,2.20050421S10/,2005-04-21,10
E:/output/SV05_VG2_S10___RM__20050430221113_20050510233533_CVB_000000_V003.ZIP,2.20050501S10/,2005-05-01,10
V:/SPOT2/SV05_VG2_S10___RM__20050510222345_20050520234625_CVB_000000_V003.ZIP,2.20050511S10/,2005-05-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050520222557_20050531233124_CVB_000000_V003.ZIP,2.20050521S10/,2005-05-21,10
E:/output/SV05_VG2_S10___RM__20050531221946_20050610234214_CVB_000000_V003.ZIP,2.20050601S10/,2005-06-01,11
E:/output/SV05_VG2_S10___RM__20050610222145_20050620234642_CVB_000000_V003.ZIP,2.20050611S10/,2005-06-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050620220444_20050630235411_CVB_000000_V003.ZIP,2.20050621S10/,2005-06-21,10
E:/output/SV05_VG2_S10___RM__20050630221223_20050710224951_CVB_000000_V003.ZIP,2.20050701S10/,2005-07-01,10
V:/SPOT2/SV05_VG2_S10___RM__20050710222001_20050720222738_CVB_000000_V003.ZIP,2.20050711S10/,2005-07-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050720211810_20050731235733_CVB_000000_V003.ZIP,2.20050721S10/,2005-07-21,10
E:/output/SV05_VG2_S10___RM__20050731221545_20050810225316_CVB_000000_V003.ZIP,2.20050801S10/,2005-08-01,11
E:/output/SV05_VG2_S10___RM__20050810222325_20050820225726_CVB_000000_V003.ZIP,2.20050811S10/,2005-08-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050820212130_20050831224906_CVB_000000_V003.ZIP,2.20050821S10/,2005-08-21,10
V:/SPOT2/SV05_VG2_S10___RM__20050831221916_20050910222656_CVB_000000_V003.ZIP,2.20050901S10/,2005-09-01,11
E:/output/SV05_VG2_S10___RM__20050910211728_20050920223434_CVB_000000_V003.ZIP,2.20050911S10/,2005-09-11,10
V:/SPOT2/SV05_VG2_S10___RM__20050920212447_20050930230052_CVB_000000_V003.ZIP,2.20050921S10/,2005-09-21,10
E:/output/SV05_VG2_S10___RM__20050930213215_20051010230830_CVB_000000_V003.ZIP,2.20051001S10/,2005-10-01,10
E:/output/SV05_VG2_S10___RM__20051010213932_20051020225957_CVB_000000_V003.ZIP,2.20051011S10/,2005-10-11,10
E:/output/SV05_VG2_S10___RM__20051020214658_20051031224651_CVB_000000_V003.ZIP,2.20051021S10/,2005-10-21,10
V:/SPOT2/SV05_VG2_S10___RM__20051031213512_20051110225516_CVB_000000_V003.ZIP,2.20051101S10/,2005-11-01,11
E:/output/SV05_VG2_S10___RM__20051110214239_20051120230341_CVB_000000_V003.ZIP,2.20051111S10/,2005-11-11,10
E:/output/SV05_VG2_S10___RM__20051120215003_20051130215740_CVB_000000_V003.ZIP,2.20051121S10/,2005-11-21,10
E:/output/SV05_VG2_S10___RM__20051130215740_20051210220510_CVB_000000_V003.ZIP,2.20051201S10/,2005-12-01,10
E:/output/SV05_VG2_S10___RM__20051210220510_20051220232748_CVB_000000_V003.ZIP,2.20051211S10/,2005-12-11,10
V:/SPOT2/SV05_VG2_S10___RM__20051220221240_20051231220129_CVB_000000_V003.ZIP,2.20051221S10/,2005-12-21,10
E:/output/SV05_VG2_S10___RM__20051231220129_20060110232353_CVB_000000_V003.ZIP,2.20060101S10/,2006-01-01,11
E:/output/SV05_VG2_S10___RM__20060110220915_20060120233119_CVB_000000_V003.ZIP,2.20060111S10/,2006-01-11,10
V:/SPOT2/SV05_VG2_S10___RM__20060120221701_20060131231843_CVB_000000_V003.ZIP,2.20060121S10/,2006-01-21,10
E:/output/SV05_VG2_S10___RM__20060131220545_20060210232546_CVB_000000_V003.ZIP,2.20060201S10/,2006-02-01,11
E:/output/SV05_VG2_S10___RM__20060210220818_20060220233248_CVB_000000_V003.ZIP,2.20060211S10/,2006-02-11,10
E:/output/SV05_VG2_S10___RM__20060220222101_20060228223743_CVB_000000_V003.ZIP,2.20060221S10/,2006-02-21,10
E:/output/SV05_VG2_S10___RM__20060228212755_20060310224534_CVB_000000_V003.ZIP,2.20060301S10/,2006-03-01,8
V:/SPOT2/SV05_VG2_S10___RM__20060310213517_20060320225324_CVB_000000_V003.ZIP,2.20060311S10/,2006-03-11,10
E:/output/SV05_VG2_S10___RM__20060320214257_20060331224145_CVB_000000_V003.ZIP,2.20060321S10/,2006-03-21,10
V:/SPOT2/SV05_VG2_S10___RM__20060331213148_20060410224935_CVB_000000_V003.ZIP,2.20060401S10/,2006-04-01,11
E:/output/SV05_VG2_S10___RM__20060410213918_20060420225725_CVB_000000_V003.ZIP,2.20060411S10/,2006-04-11,10
V:/SPOT2/SV05_VG2_S10___RM__20060420214657_20060430230813_CVB_000000_V003.ZIP,2.20060421S10/,2006-04-21,10
V:/SPOT2/SV05_VG2_S10___RM__20060430215436_20060510231351_CVB_000000_V003.ZIP,2.20060501S10/,2006-05-01,10
E:/output/SV05_VG2_S10___RM__20060510220213_20060520232130_CVB_000000_V003.ZIP,2.20060511S10/,2006-05-11,10
E:/output/SV05_VG2_S10___RM__20060520220953_20060531230911_CVB_000000_V003.ZIP,2.20060521S10/,2006-05-21,10
E:/output/SV05_VG2_S10___RM__20060531215833_20060610231742_CVB_000000_V003.ZIP,2.20060601S10/,2006-06-01,11
E:/output/SV05_VG2_S10___RM__20060610220614_20060620232532_CVB_000000_V003.ZIP,2.20060611S10/,2006-06-11,10
E:/output/SV05_VG2_S10___RM__20060620221344_20060630233312_CVB_000000_V003.ZIP,2.20060621S10/,2006-06-21,10
E:/output/SV05_VG2_S10___RM__20060630220234_20060710234411_CVB_000000_V003.ZIP,2.20060701S10/,2006-07-01,10
E:/output/SV05_VG2_S10___RM__20060710221023_20060720235200_CVB_000000_V003.ZIP,2.20060711S10/,2006-07-11,10
V:/SPOT2/SV05_VG2_S10___RM__20060720223132_20060731222519_CVB_000000_V003.ZIP,2.20060721S10/,2006-07-21,10
E:/output/SV05_VG2_S10___RM__20060731221949_20060810234455_CVB_000000_V003.ZIP,2.20060801S10/,2006-08-01,11
V:/SPOT2/SV05_VG2_S10___RM__20060810220257_20060820235234_CVB_000000_V003.ZIP,2.20060811S10/,2006-08-11,10
V:/SPOT2/SV05_VG2_S10___RM__20060820221046_20060831234415_CVB_000000_V003.ZIP,2.20060821S10/,2006-08-21,10
V:/SPOT2/SV05_VG2_S10___RM__20060831222347_20060910234855_CVB_000000_V003.ZIP,2.20060901S10/,2006-09-01,11
E:/output/SV05_VG2_S10___RM__20060910220658_20060920235635_CVB_000000_V003.ZIP,2.20060911S10/,2006-09-11,10
E:/output/SV05_VG2_S10___RM__20060920221448_20060930225247_CVB_000000_V003.ZIP,2.20060921S10/,2006-09-21,10
E:/output/SV05_VG2_S10___RM__20060930222237_20061010225645_CVB_000000_V003.ZIP,2.20061001S10/,2006-10-01,10
E:/output/SV05_VG2_S10___RM__20061010212047_20061020225651_CVB_000000_V003.ZIP,2.20061011S10/,2006-10-11,10
E:/output/SV05_VG2_S10___RM__20061020212824_20061031222745_CVB_000000_V003.ZIP,2.20061021S10/,2006-10-21,10
V:/SPOT2/SV05_VG2_S10___RM__20061031211657_20061110223620_CVB_000000_V003.ZIP,2.20061101S10/,2006-11-01,11
E:/output/SV05_VG2_S10___RM__20061110212422_20061120224454_CVB_000000_V003.ZIP,2.20061111S10/,2006-11-11,10
E:/output/SV05_VG2_S10___RM__20061120213157_20061130213920_CVB_000000_V003.ZIP,2.20061121S10/,2006-11-21,10
E:/output/SV05_VG2_S10___RM__20061130213920_20061210214653_CVB_000000_V003.ZIP,2.20061201S10/,2006-12-01,10
V:/SPOT2/SV05_VG2_S10___RM__20061210214653_20061220215425_CVB_000000_V003.ZIP,2.20061211S10/,2006-12-11,10
E:/output/SV05_VG2_S10___RM__20061220215425_20061231214249_CVB_000000_V003.ZIP,2.20061221S10/,2006-12-21,10
E:/output/SV05_VG2_S10___RM__20061231214249_20070110215025_CVB_000000_V003.ZIP,2.20070101S10/,2007-01-01,11
V:/SPOT2/SV05_VG2_S10___RM__20070110215025_20070120231158_CVB_000000_V003.ZIP,2.20070111S10/,2007-01-11,10
E:/output/SV05_VG2_S10___RM__20070120215810_20070131225922_CVB_000000_V003.ZIP,2.20070121S10/,2007-01-21,10
V:/SPOT2/SV05_VG2_S10___RM__20070131214634_20070210230607_CVB_000000_V003.ZIP,2.20070201S10/,2007-02-01,11
E:/output/SV05_VG2_S10___RM__20070210215409_20070220231311_CVB_000000_V003.ZIP,2.20070211S10/,2007-02-11,10
V:/SPOT2/SV05_VG2_S10___RM__20070220220143_20070228235937_CVB_000000_V003.ZIP,2.20070221S10/,2007-02-21,10
E:/output/SV05_VG2_S10___RM__20070228221749_20070310222532_CVB_000000_V003.ZIP,2.20070301S10/,2007-03-01,8
E:/output/SV05_VG2_S10___RM__20070310211604_20070320223312_CVB_000000_V003.ZIP,2.20070311S10/,2007-03-11,10
V:/SPOT2/SV05_VG2_S10___RM__20070320212325_20070331225111_CVB_000000_V003.ZIP,2.20070321S10/,2007-03-21,10
E:/output/SV05_VG2_S10___RM__20070331222121_20070410225521_CVB_000000_V003.ZIP,2.20070401S10/,2007-04-01,11
V:/SPOT2/SV05_VG2_S10___RM__20070410211923_20070420223640_CVB_000000_V003.ZIP,2.20070411S10/,2007-04-11,10
E:/output/SV05_VG2_S10___RM__20070420212653_20070430224419_CVB_000000_V003.ZIP,2.20070421S10/,2007-04-21,10
E:/output/SV05_VG2_S10___RM__20070430213402_20070510225428_CVB_000000_V003.ZIP,2.20070501S10/,2007-05-01,10
E:/output/SV05_VG2_S10___RM__20070510214130_20070520225936_CVB_000000_V003.ZIP,2.20070511S10/,2007-05-11,10
E:/output/SV05_VG2_S10___RM__20070520214858_20070531224740_CVB_000000_V003.ZIP,2.20070521S10/,2007-05-21,10
E:/output/SV05_VG2_S10___RM__20070531213722_20070610225807_CVB_000000_V003.ZIP,2.20070601S10/,2007-06-01,11
E:/output/SV05_VG2_S10___RM__20070610214449_20070620230257_CVB_000000_V003.ZIP,2.20070611S10/,2007-06-11,10
V:/SPOT2/SV05_VG2_S10___RM__20070620215219_20070630231118_CVB_000000_V003.ZIP,2.20070621S10/,2007-06-21,10
E:/output/SV05_VG2_S10___RM__20070630215950_20070710231859_CVB_000000_V003.ZIP,2.20070701S10/,2007-07-01,10
E:/output/SV05_VG2_S10___RM__20070710220722_20070720232630_CVB_000000_V003.ZIP,2.20070711S10/,2007-07-11,10
V:/SPOT2/SV05_VG2_S10___RM__20070720215552_20070731231447_CVB_000000_V003.ZIP,2.20070721S10/,2007-07-21,10
V:/SPOT2/SV05_VG2_S10___RM__20070731220319_20070810232225_CVB_000000_V003.ZIP,2.20070801S10/,2007-08-01,11
V:/SPOT2/SV05_VG2_S10___RM__20070810221037_20070820232953_CVB_000000_V003.ZIP,2.20070811S10/,2007-08-11,10
E:/output/SV05_VG2_S10___RM__20070820221805_20070831231809_CVB_000000_V003.ZIP,2.20070821S10/,2007-08-21,10
E:/output/SV05_VG2_S10___RM__20070831220631_20070906063129_CVB_000000_V003.ZIP,2.20070901S10/,2007-09-01,11
E:/output/SV05_VG2_S10___RM__20070911111959_20070920233623_CVB_000000_V003.ZIP,2.20070911S10/,2007-09-11,10
E:/output/SV05_VG2_S10___RM__20070920221555_20070930234050_CVB_000000_V003.ZIP,2.20070921S10/,2007-09-21,10
V:/SPOT2/SV05_VG2_S10___RM__20070930215852_20071010234824_CVB_000000_V003.ZIP,2.20071001S10/,2007-10-01,10
E:/output/SV05_VG2_S10___RM__20071010220637_20071020235612_CVB_000000_V003.ZIP,2.20071011S10/,2007-10-11,10
E:/output/SV05_VG2_S10___RM__20071020221435_20071031234518_CVB_000000_V003.ZIP,2.20071021S10/,2007-10-21,10
E:/output/SV05_VG2_S10___RM__20071031220350_20071110235404_CVB_000000_V003.ZIP,2.20071101S10/,2007-11-01,11
E:/output/SV05_VG2_S10___RM__20071110221236_20071120224802_CVB_000000_V003.ZIP,2.20071111S10/,2007-11-11,10
E:/output/SV05_VG2_S10___RM__20071120222102_20071130225218_CVB_000000_V003.ZIP,2.20071121S10/,2007-11-21,10
E:/output/SV05_VG2_S10___RM__20071130211620_20071210212356_CVB_000000_V003.ZIP,2.20071201S10/,2007-12-01,10
E:/output/SV05_VG2_S10___RM__20071210212356_20071220213110_CVB_000000_V003.ZIP,2.20071211S10/,2007-12-11,10
E:/output/SV05_VG2_S10___RM__20071220213110_20071231211953_CVB_000000_V003.ZIP,2.20071221S10/,2007-12-21,10
E:/output/SV05_VG2_S10___RM__20071231211953_20080110212726_CVB_000000_V003.ZIP,2.20080101S10/,2008-01-01,11
E:/output/SV05_VG2_S10___RM__20080110212726_20080120213449_CVB_000000_V003.ZIP,2.20080111S10/,2008-01-11,10
E:/output/SV05_VG2_S10___RM__20080120213449_20080131223538_CVB_000000_V003.ZIP,2.20080121S10/,2008-01-21,10
E:/output/SV05_VG2_S10___RM__20080131212329_20080210224219_CVB_000000_V003.ZIP,2.20080201S10/,2008-02-01,11
E:/output/SV05_VG2_S10___RM__20080210213040_20080220224850_CVB_000000_V003.ZIP,2.20080211S10/,2008-02-11,10
E:/output/SV05_VG2_S10___RM__20080220213811_20080229231921_CVB_000000_V003.ZIP,2.20080221S10/,2008-02-21,10
E:/output/SV05_VG2_S10___RM__20080229220453_20080306211840_CVB_000000_V003.ZIP,2.20080301S10/,2008-03-01,9
E:/output/SV05_VG2_S10___RM__20080311010457_20080320233450_CVB_000000_V003.ZIP,2.20080311S10/,2008-03-11,10
E:/output/SV05_VG2_S10___RM__20080320221422_20080331232002_CVB_000000_V003.ZIP,2.20080321S10/,2008-03-21,10
E:/output/SV05_VG2_S10___RM__20080331220814_20080410232735_CVB_000000_V003.ZIP,2.20080401S10/,2008-04-01,11
E:/output/SV05_VG2_S10___RM__20080410221547_20080420233826_CVB_000000_V003.ZIP,2.20080411S10/,2008-04-11,10
E:/output/SV05_VG2_S10___RM__20080420221758_20080430234254_CVB_000000_V003.ZIP,2.20080421S10/,2008-04-21,10
E:/output/SV05_VG2_S10___RM__20080430220056_20080510235021_CVB_000000_V003.ZIP,2.20080501S10/,2008-05-01,10
E:/output/SV05_VG2_S10___RM__20080510220834_20080520235758_CVB_000000_V003.ZIP,2.20080511S10/,2008-05-11,10
E:/output/SV05_VG2_S10___RM__20080520221610_20080531234604_CVB_000000_V003.ZIP,2.20080521S10/,2008-05-21,10
E:/output/SV05_VG2_S10___RM__20080531220417_20080610235347_CVB_000000_V003.ZIP,2.20080601S10/,2008-06-01,11
E:/output/SV05_VG2_S10___RM__20080610221159_20080620223101_CVB_000000_V003.ZIP,2.20080611S10/,2008-06-11,10
E:/output/SV05_VG2_S10___RM__20080620211014_20080630223841_CVB_000000_V003.ZIP,2.20080621S10/,2008-06-21,10
E:/output/SV05_VG2_S10___RM__20080630211733_20080710223459_CVB_000000_V003.ZIP,2.20080701S10/,2008-07-01,10
E:/output/SV05_VG2_S10___RM__20080710212501_20080720224235_CVB_000000_V003.ZIP,2.20080711S10/,2008-07-11,10
E:/output/SV05_VG2_S10___RM__20080720213218_20080731223039_CVB_000000_V003.ZIP,2.20080721S10/,2008-07-21,10
V:/SPOT2/SV05_VG2_S10___RM__20080731212052_20080810223814_CVB_000000_V003.ZIP,2.20080801S10/,2008-08-01,11
E:/output/SV05_VG2_S10___RM__20080810212756_20080820224609_CVB_000000_V003.ZIP,2.20080811S10/,2008-08-11,10
E:/output/SV05_VG2_S10___RM__20080820224609_20080831223357_CVB_000000_V003.ZIP,2.20080821S10/,2008-08-21,10
E:/output/SV05_VG2_S10___RM__20080831212400_20080910224136_CVB_000000_V003.ZIP,2.20080901S10/,2008-09-01,11
E:/output/SV05_VG2_S10___RM__20080910213118_20080920224914_CVB_000000_V003.ZIP,2.20080911S10/,2008-09-11,10
E:/output/SV05_VG2_S10___RM__20080920213846_20080930225651_CVB_000000_V003.ZIP,2.20080921S10/,2008-09-21,10
E:/output/SV05_VG2_S10___RM__20080930214613_20081010230505_CVB_000000_V003.ZIP,2.20081001S10/,2008-10-01,10
E:/output/SV05_VG2_S10___RM__20081010215337_20081020231248_CVB_000000_V003.ZIP,2.20081011S10/,2008-10-11,10
E:/output/SV05_VG2_S10___RM__20081020220100_20081031230118_CVB_000000_V003.ZIP,2.20081021S10/,2008-10-21,10
E:/output/SV05_VG2_S10___RM__20081031214920_20081110230944_CVB_000000_V003.ZIP,2.20081101S10/,2008-11-01,11
V:/SPOT2/SV05_VG2_S10___RM__20081110215646_20081120231809_CVB_000000_V003.ZIP,2.20081111S10/,2008-11-11,10
E:/output/SV05_VG2_S10___RM__20081120220402_20081130232624_CVB_000000_V003.ZIP,2.20081121S10/,2008-11-21,10
E:/output/SV05_VG2_S10___RM__20081130221126_20081210233431_CVB_000000_V003.ZIP,2.20081201S10/,2008-12-01,10
V:/SPOT2/SV05_VG2_S10___RM__20081210221343_20081220234243_CVB_000000_V003.ZIP,2.20081211S10/,2008-12-11,10
E:/output/SV05_VG2_S10___RM__20081220222145_20081231233115_CVB_000000_V003.ZIP,2.20081221S10/,2008-12-21,10
E:/output/SV05_VG2_S10___RM__20081231221027_20090110233902_CVB_000000_V003.ZIP,2.20090101S10/,2009-01-01,11
E:/output/SV05_VG2_S10___RM__20090110222354_20090120234640_CVB_000000_V003.ZIP,2.20090111S10/,2009-01-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090120220512_20090131233550_CVB_000000_V003.ZIP,2.20090121S10/,2009-01-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090131221521_20090210234136_CVB_000000_V003.ZIP,2.20090201S10/,2009-02-01,11
V:/SPOT2/SV05_VG2_S10___RM__20090210220008_20090220234842_CVB_000000_V003.ZIP,2.20090211S10/,2009-02-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090220220704_20090228225358_CVB_000000_V003.ZIP,2.20090221S10/,2009-02-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090228214320_20090310230203_CVB_000000_V003.ZIP,2.20090301S10/,2009-03-01,8
V:/SPOT2/SV05_VG2_S10___RM__20090310215125_20090320231047_CVB_000000_V003.ZIP,2.20090311S10/,2009-03-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090320215919_20090331225841_CVB_000000_V003.ZIP,2.20090321S10/,2009-03-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090331214803_20090410230953_CVB_000000_V003.ZIP,2.20090401S10/,2009-04-01,11
V:/SPOT2/SV05_VG2_S10___RM__20090410215555_20090420231905_CVB_000000_V003.ZIP,2.20090411S10/,2009-04-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090420220347_20090430232318_CVB_000000_V003.ZIP,2.20090421S10/,2009-04-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090430221140_20090510233433_CVB_000000_V003.ZIP,2.20090501S10/,2009-05-01,10
V:/SPOT2/SV05_VG2_S10___RM__20090510220305_20090520233927_CVB_000000_V003.ZIP,2.20090511S10/,2009-05-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090520215729_20090531232801_CVB_000000_V003.ZIP,2.20090521S10/,2009-05-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090531215943_20090610233913_CVB_000000_V003.ZIP,2.20090601S10/,2009-06-01,11
V:/SPOT2/SV05_VG2_S10___RM__20090610220525_20090620234826_CVB_000000_V003.ZIP,2.20090611S10/,2009-06-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090620220208_20090630235159_CVB_000000_V003.ZIP,2.20090621S10/,2009-06-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090630221012_20090710224805_CVB_000000_V003.ZIP,2.20090701S10/,2009-07-01,10
V:/SPOT2/SV05_VG2_S10___RM__20090710221815_20090720225237_CVB_000000_V003.ZIP,2.20090711S10/,2009-07-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090720211639_20090731235637_CVB_000000_V003.ZIP,2.20090721S10/,2009-07-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090731221449_20090810222250_CVB_000000_V003.ZIP,2.20090801S10/,2009-08-01,11
V:/SPOT2/SV05_VG2_S10___RM__20090810211322_20090820223050_CVB_000000_V003.ZIP,2.20090811S10/,2009-08-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090820212103_20090831224909_CVB_000000_V003.ZIP,2.20090821S10/,2009-08-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090831221919_20090910225338_CVB_000000_V003.ZIP,2.20090901S10/,2009-09-01,11
V:/SPOT2/SV05_VG2_S10___RM__20090910211740_20090920223521_CVB_000000_V003.ZIP,2.20090911S10/,2009-09-11,10
V:/SPOT2/SV05_VG2_S10___RM__20090920212533_20090930230203_CVB_000000_V003.ZIP,2.20090921S10/,2009-09-21,10
V:/SPOT2/SV05_VG2_S10___RM__20090930213306_20091010225416_CVB_000000_V003.ZIP,2.20091001S10/,2009-10-01,10
